name,longitude,latitude,distance,gain,elevation,reward_scale,address,altitude
wobbly-eggshell-snake,-79.00585807,43.84320253,17970.32085,28,0,1,117ixZhR2YAZg7HgHT4fJvZRU7o1REMwcHVqRKc4wyeoa6ZpoSm,88
virtual-mossy-bison,-78.58748957,43.90162286,18009.13289,12,0,0.833328247,11FpW9aM62nZwivD2to1d8JFwdjih4pKWKMktbtc714j5hD3cQS,80
careful-graphite-snake,-78.5864611,43.90860539,18012.86033,40,0,1,11two1UWV7Jp7iVRV3m3ESNDQYPCNSXyHYg7o3kuieorbfSqqMk,88
attractive-cobalt-starling,-79.01295559,43.85226939,18019.55432,43,8,1,116DhetfKF7TXBMrk571UDFix5XF4iLgpLMqPPBNwHEJyYjpXax,102
scruffy-denim-worm,-79.00969829,43.84687246,18050.37925,58,4,0.800003052,11M5D5qgmf396eYMkyYXGoQsfrrjm2otpVK6k2M7Q2s668vb1sp,88
jolly-chiffon-urchin,-79.03000083,43.88758538,18063.2631,58,9,0.377182007,112gDSbzj5qgoLcQq5TP6bvLjg8Ucxz39HQyiJs6Hx83LxQLiLsu,116
long-iron-tuna,-79.03069379,43.88967469,18070.86935,58,6,0.754364014,112tsDkaLftvoevcu1B5kjNhW3MrwqtVbSaGRWxibeCsRC7uaf3A,116
micro-iris-stork,-79.02852226,43.882176,18082.81435,40,3,0.754364014,112TFPpJKsrvLvxh8eUequ3kuccNowbfiC1s3NXFmTSGZMgRAtBw,118
shaggy-mercurial-mouse,-78.58591807,43.90577347,18084.04518,80,11,0.833328247,11bvonRjzqhWjLrCwAJJ3WcmLXNNDVSdkgvgb21wgAQiRDfVHeD,88
rapid-menthol-marmot,-78.58720629,43.89731251,18096.63592,40,4,0.833328247,112HbN3nVAvoX9S3P2mmaUQ28TnjEdJg4BxP5cPbJezReze5LvUi,80
happy-sandstone-ferret,-79.03041078,43.88750074,18097.44287,12,0,0.377182007,11uzGjhxNvP9ErBDo2zeGpih1JPwcuEknmpgR8V2By2USm3MV89,116
broad-honeysuckle-chipmunk,-79.00270481,43.83600001,18154.2345,58,8,0.5,11zpegihv5Kfb8go49rToJRnxhmb7mHfk6qxBYEv1tE1jVUDhtn,88
micro-magenta-mallard,-78.58380914,43.91805605,18172.77635,80,5,1,116EsWjdxoAUkTrGxce5cCBduFbRykk7Vhh4sq6tECzhvbALBGL,97
shallow-mango-caterpillar,-78.58588408,43.89891679,18176.2243,40,3,0.833328247,113v4Y2QjV9TzcwaqrdGn42hnvhpVtz6Ecg1ysxzWVmGVM2rD4b,80
ripe-porcelain-capybara,-79.00205994,43.83452682,18196.39396,120,0,0.5,1124xaceHi1SjSwu9mCsdH4i88gVrFDuVzNd841pTXh3Z2GR8tzG,82
large-taffy-jay,-78.58351253,43.92622904,18200.08932,12,0,1,1174HwAAWsKdRUJe1p4wvQJxBnKwCUcHx2kYYenybRZjiQjkWHh,115
massive-oily-cormorant,-79.02602236,43.87188883,18200.83889,80,0,0.900085449,11wfVJAZz8p34edKfgeyYw6gVXw1wz75oqi4ytbZynUuGD4MDFL,118
fun-quartz-cheetah,-78.99719291,43.82901699,18204.02784,40,0,1,112hmBqV7m3gYpnD5Cke9XEwaYkrqKBmgS1dQ5P5191jbJ1g5VzK,80
vast-tiger-scallop,-79.03378754,43.89519759,18206.17788,28,5,0.990097046,112KycB1aPnmK2fbcEbbKJ2mrb7hNFJVG6uHR7uackTgftfT99Mz,127
interesting-tiger-wombat,-79.03300138,43.89187718,18206.91176,12,0,1,112DE1LWbZxxH1XEtdBYyqu7UPGWoiAinAdeKS83FyinwuExQdK8,116
cheerful-brunette-kookaburra,-79.02965911,43.88069124,18211.85319,12,0,1,11JqcY8MQtfk7SeviGfjaSBHXtmvuQZP8MAp4kcevMLmUZSYQLC,104
festive-saffron-sawfish,-78.58764216,43.95464313,18236.47922,40,6,1,112b6pRyNYGa7saGefUiT2Kj9P4iSqGVMSAtPoMvn4iMK4jx7Jsq,149
sweet-glass-camel,-79.00870471,43.84154424,18259.88151,58,1,1,11uf88hzwkftdd2vD6ok5VnWh3NdXAgfdgUtCwBxaX5WhvT3gML,88
short-sage-beaver,-79.03515294,43.89830922,18262.46948,40,5,0.990097046,112wXapaewa1WTunHoEfDdDkBA86GF6Bpj2kkxa6qVBzFPr11ZUy,127
pet-citron-trout,-79.01112665,43.844525,18273.04918,58,8,0.800003052,112ZWGWxj7EXqF63sGRScBkhEAT9xaPonCdFF36KiHZDXkHaeZr5,88
cool-hazel-guppy,-79.0024491,43.83337573,18291.03354,12,0,1,11uie1GLfvRg917yvbYU7xD5gZgqnmGkqhnnTxe7udRcFs7VyXf,82
